,ETL Tstamp Time,Event Name,Event Details
292,2025-12-19 10:48:30,Card Played,"{""Card"": ""Thread Pull""}"
293,2025-12-19 10:48:40,Card Played,"{""Card"": ""Vantablack Ink""}"
294,2025-12-19 10:48:50,Card Played,"{""Card"": ""Vantablack Ink""}"
295,2025-12-19 10:49:00,Silk Gained,"{""Amount"": 3, ""Total"": 145}"
296,2025-12-19 10:49:10,Card Played,"{""Card"": ""Azure Stitch""}"
297,2025-12-19 10:49:20,Card Played,"{""Card"": ""Web Trap""}"
298,2025-12-19 10:49:30,Player Health Changed,"{""Source"": ""Enemies"", ""Damage"": 7, ""Remaining"": 28}"
299,2025-12-19 10:49:40,Turn Ended,"{""Health"": 28}"
300,2025-12-19 10:49:50,Turn Started,"{""Turn"": 7, ""Energy"": 3}"
301,2025-12-19 10:50:00,Card Played,"{""Card"": ""Echoing Step""}"
302,2025-12-19 10:50:10,Card Played,"{""Card"": ""Web Trap""}"
303,2025-12-19 10:50:20,Card Played,"{""Card"": ""Azure Stitch""}"
304,2025-12-19 10:50:30,Silk Gained,"{""Amount"": 3, ""Total"": 148}"
305,2025-12-19 10:50:40,Card Played,"{""Card"": ""Prismatic Needle"", ""Damage"": 8, ""Target"": ""Ink Wraith""}"
306,2025-12-19 10:50:50,Silk Gained,"{""Amount"": 5, ""Total"": 153}"
307,2025-12-19 10:51:00,Card Played,"{""Card"": ""Prismatic Needle"", ""Damage"": 8, ""Target"": ""Ink Wraith""}"
308,2025-12-19 10:51:10,Silk Gained,"{""Amount"": 3, ""Total"": 156}"
309,2025-12-19 10:51:20,Card Played,"{""Card"": ""Echoing Step""}"
310,2025-12-19 10:51:30,Player Health Changed,"{""Source"": ""Enemies"", ""Damage"": 7, ""Remaining"": 21}"
311,2025-12-19 10:51:40,Turn Ended,"{""Health"": 21}"
312,2025-12-19 10:51:50,Turn Started,"{""Turn"": 8, ""Energy"": 3}"
313,2025-12-19 10:52:00,Card Played,"{""Card"": ""Thread Pull""}"
314,2025-12-19 10:52:10,Card Played,"{""Card"": ""Web Trap""}"
315,2025-12-19 10:52:20,Silk Gained,"{""Amount"": 3, ""Total"": 159}"
316,2025-12-19 10:52:30,Card Played,"{""Card"": ""Loom Burst"", ""Damage"": 5, ""Target"": ""Ink Wraith""}"
317,2025-12-19 10:52:40,Card Played,"{""Card"": ""Web Trap""}"
318,2025-12-19 10:52:50,Card Played,"{""Card"": ""Echoing Step""}"
319,2025-12-19 10:53:00,Card Played,"{""Card"": ""Silk Shield"", ""Block"": 8}"
320,2025-12-19 10:53:10,Player Health Changed,"{""Source"": ""Enemies"", ""Damage"": 4, ""Remaining"": 17}"
321,2025-12-19 10:53:20,Turn Ended,"{""Health"": 17}"
322,2025-12-19 10:53:30,Combat Ended,"{""Result"": ""Victory""}"
323,2025-12-19 10:53:40,Node Selected,"{""Node_Level"": 9, ""Type"": ""Combat""}"
324,2025-12-19 10:53:50,Combat Started,"{""Enemies"": ['Ink Wraith', 'Thorny Core'], ""Environment"": ""Standard""}"
325,2025-12-19 10:54:00,Turn Started,"{""Turn"": 1, ""Energy"": 3}"
326,2025-12-19 10:54:10,Card Played,"{""Card"": ""Prismatic Needle"", ""Damage"": 8, ""Target"": ""Thorny Core""}"
327,2025-12-19 10:54:20,Card Played,"{""Card"": ""Azure Stitch""}"
328,2025-12-19 10:54:30,Card Played,"{""Card"": ""Silk Shield"", ""Block"": 8}"
329,2025-12-19 10:54:40,Card Played,"{""Card"": ""Thread Pull""}"
330,2025-12-19 10:54:50,Silk Gained,"{""Amount"": 4, ""Total"": 163}"
331,2025-12-19 10:55:00,Card Played,"{""Card"": ""Silk Shield"", ""Block"": 8}"
332,2025-12-19 10:55:10,Card Played,"{""Card"": ""Echoing Step""}"
333,2025-12-19 10:55:20,Card Played,"{""Card"": ""Silk Shield"", ""Block"": 8}"
334,2025-12-19 10:55:30,Player Health Changed,"{""Source"": ""Enemies"", ""Damage"": 6, ""Remaining"": 16}"
335,2025-12-19 10:55:40,Turn Ended,"{""Health"": 16}"
336,2025-12-19 10:55:50,Turn Started,"{""Turn"": 2, ""Energy"": 3}"
337,2025-12-19 10:56:00,Card Played,"{""Card"": ""Vantablack Ink""}"
338,2025-12-19 10:56:10,Card Played,"{""Card"": ""Thread Pull""}"
339,2025-12-19 10:56:20,Silk Gained,"{""Amount"": 1, ""Total"": 164}"
340,2025-12-19 10:56:30,Card Played,"{""Card"": ""Silk Shield"", ""Block"": 8}"
341,2025-12-19 10:56:40,Card Played,"{""Card"": ""Silk Shield"", ""Block"": 8}"
342,2025-12-19 10:56:50,Card Played,"{""Card"": ""Vantablack Ink""}"
343,2025-12-19 10:57:00,Card Played,"{""Card"": ""Web Trap""}"
344,2025-12-19 10:57:10,Card Played,"{""Card"": ""Vantablack Ink""}"
345,2025-12-19 10:57:20,Player Health Changed,"{""Source"": ""Enemies"", ""Damage"": 4, ""Remaining"": 12}"
346,2025-12-19 10:57:30,Turn Ended,"{""Health"": 12}"
347,2025-12-19 10:57:40,Turn Started,"{""Turn"": 3, ""Energy"": 3}"
348,2025-12-19 10:57:50,Card Played,"{""Card"": ""Loom Burst"", ""Damage"": 5, ""Target"": ""Thorny Core""}"
349,2025-12-19 10:58:00,Card Played,"{""Card"": ""Loom Burst"", ""Damage"": 5, ""Target"": ""Ink Wraith""}"
350,2025-12-19 10:58:10,Card Played,"{""Card"": ""Echoing Step""}"
351,2025-12-19 10:58:20,Silk Gained,"{""Amount"": 5, ""Total"": 169}"
352,2025-12-19 10:58:30,Card Played,"{""Card"": ""Prismatic Needle"", ""Damage"": 8, ""Target"": ""Thorny Core""}"
353,2025-12-19 10:58:40,Silk Gained,"{""Amount"": 2, ""Total"": 171}"
354,2025-12-19 10:58:50,Player Health Changed,"{""Source"": ""Enemies"", ""Damage"": 2, ""Remaining"": 10}"
355,2025-12-19 10:59:00,Turn Ended,"{""Health"": 10}"
356,2025-12-19 10:59:10,Turn Started,"{""Turn"": 4, ""Energy"": 3}"
357,2025-12-19 10:59:20,Card Played,"{""Card"": ""Silk Shield"", ""Block"": 8}"
358,2025-12-19 10:59:30,Card Played,"{""Card"": ""Silk Shield"", ""Block"": 8}"
359,2025-12-19 10:59:40,Silk Gained,"{""Amount"": 1, ""Total"": 172}"
360,2025-12-19 10:59:50,Card Played,"{""Card"": ""Final Knot"", ""Damage"": 15, ""Target"": ""Ink Wraith""}"
361,2025-12-19 11:00:00,Card Played,"{""Card"": ""Web Trap""}"
362,2025-12-19 11:00:10,Card Played,"{""Card"": ""Thread Pull""}"
363,2025-12-19 11:00:20,Card Played,"{""Card"": ""Web Trap""}"
364,2025-12-19 11:00:30,Card Played,"{""Card"": ""Vantablack Ink""}"
365,2025-12-19 11:00:40,Silk Gained,"{""Amount"": 4, ""Total"": 176}"
366,2025-12-19 11:00:50,Player Health Changed,"{""Source"": ""Enemies"", ""Damage"": 7, ""Remaining"": 3}"
367,2025-12-19 11:01:00,Turn Ended,"{""Health"": 3}"
368,2025-12-19 11:01:10,Turn Started,"{""Turn"": 5, ""Energy"": 3}"
369,2025-12-19 11:01:20,Card Played,"{""Card"": ""Thread Pull""}"
370,2025-12-19 11:01:30,Card Played,"{""Card"": ""Azure Stitch""}"
371,2025-12-19 11:01:40,Card Played,"{""Card"": ""Prismatic Needle"", ""Damage"": 8, ""Target"": ""Ink Wraith""}"
372,2025-12-19 11:01:50,Card Played,"{""Card"": ""Vantablack Ink""}"
373,2025-12-19 11:02:00,Player Health Changed,"{""Source"": ""Enemies"", ""Damage"": 2, ""Remaining"": 1}"
374,2025-12-19 11:02:10,Turn Ended,"{""Health"": 1}"
375,2025-12-19 11:02:20,Turn Started,"{""Turn"": 6, ""Energy"": 3}"
376,2025-12-19 11:02:30,Card Played,"{""Card"": ""Vantablack Ink""}"
377,2025-12-19 11:02:40,Silk Gained,"{""Amount"": 5, ""Total"": 181}"
378,2025-12-19 11:02:50,Card Played,"{""Card"": ""Prismatic Needle"", ""Damage"": 8, ""Target"": ""Ink Wraith""}"
379,2025-12-19 11:03:00,Card Played,"{""Card"": ""Thread Pull""}"
380,2025-12-19 11:03:10,Silk Gained,"{""Amount"": 2, ""Total"": 183}"
381,2025-12-19 11:03:20,Card Played,"{""Card"": ""Silk Shield"", ""Block"": 8}"
382,2025-12-19 11:03:30,Card Played,"{""Card"": ""Silk Shield"", ""Block"": 8}"
383,2025-12-19 11:03:40,Silk Gained,"{""Amount"": 1, ""Total"": 184}"
384,2025-12-19 11:03:50,Player Health Changed,"{""Source"": ""Enemies"", ""Damage"": 3, ""Remaining"": -2}"
385,2025-12-19 11:04:00,Turn Ended,"{""Health"": -2}"
386,2025-12-19 11:04:10,Combat Ended,"{""Result"": ""Victory""}"
387,2025-12-19 11:04:20,Node Selected,"{""Node_Level"": 10, ""Type"": ""Rest Stop""}"
388,2025-12-19 11:04:30,Health Changed,"{""Action"": ""Rest"", ""Current"": 28}"
389,2025-12-19 11:04:40,Node Selected,"{""Node_Level"": 11, ""Type"": ""Rest Stop""}"
390,2025-12-19 11:04:50,Health Changed,"{""Action"": ""Rest"", ""Current"": 58}"
391,2025-12-19 11:05:00,Level Up,"{""Level"": 3}"
392,2025-12-19 11:05:10,Node Selected,"{""Node_Level"": 12, ""Type"": ""Combat""}"
393,2025-12-19 11:05:20,Combat Started,"{""Enemies"": ['Ink Wraith'], ""Environment"": ""Standard""}"
394,2025-12-19 11:05:30,Turn Started,"{""Turn"": 1, ""Energy"": 3}"
395,2025-12-19 11:05:40,Card Played,"{""Card"": ""Thread Pull""}"
396,2025-12-19 11:05:50,Silk Gained,"{""Amount"": 3, ""Total"": 187}"
397,2025-12-19 11:06:00,Card Played,"{""Card"": ""Final Knot"", ""Damage"": 15, ""Target"": ""Ink Wraith""}"
398,2025-12-19 11:06:10,Silk Gained,"{""Amount"": 2, ""Total"": 189}"
399,2025-12-19 11:06:20,Card Played,"{""Card"": ""Loom Burst"", ""Damage"": 5, ""Target"": ""Ink Wraith""}"
400,2025-12-19 11:06:30,Silk Gained,"{""Amount"": 3, ""Total"": 192}"
401,2025-12-19 11:06:40,Card Played,"{""Card"": ""Prismatic Needle"", ""Damage"": 8, ""Target"": ""Ink Wraith""}"
402,2025-12-19 11:06:50,Card Played,"{""Card"": ""Vantablack Ink""}"
403,2025-12-19 11:07:00,Player Health Changed,"{""Source"": ""Enemies"", ""Damage"": 7, ""Remaining"": 56}"
404,2025-12-19 11:07:10,Turn Ended,"{""Health"": 56}"
405,2025-12-19 11:07:20,Turn Started,"{""Turn"": 2, ""Energy"": 3}"
406,2025-12-19 11:07:30,Card Played,"{""Card"": ""Loom Burst"", ""Damage"": 5, ""Target"": ""Ink Wraith""}"
407,2025-12-19 11:07:40,Silk Gained,"{""Amount"": 1, ""Total"": 193}"
408,2025-12-19 11:07:50,Card Played,"{""Card"": ""Final Knot"", ""Damage"": 15, ""Target"": ""Ink Wraith""}"
409,2025-12-19 11:08:00,Card Played,"{""Card"": ""Echoing Step""}"
410,2025-12-19 11:08:10,Silk Gained,"{""Amount"": 5, ""Total"": 198}"
411,2025-12-19 11:08:20,Card Played,"{""Card"": ""Final Knot"", ""Damage"": 15, ""Target"": ""Ink Wraith""}"
412,2025-12-19 11:08:30,Silk Gained,"{""Amount"": 1, ""Total"": 199}"
413,2025-12-19 11:08:40,Player Health Changed,"{""Source"": ""Enemies"", ""Damage"": 2, ""Remaining"": 54}"
414,2025-12-19 11:08:50,Turn Ended,"{""Health"": 54}"
415,2025-12-19 11:09:00,Turn Started,"{""Turn"": 3, ""Energy"": 3}"
416,2025-12-19 11:09:10,Card Played,"{""Card"": ""Prismatic Needle"", ""Damage"": 8, ""Target"": ""Ink Wraith""}"
417,2025-12-19 11:09:20,Card Played,"{""Card"": ""Vantablack Ink""}"
418,2025-12-19 11:09:30,Card Played,"{""Card"": ""Thread Pull""}"
419,2025-12-19 11:09:40,Silk Gained,"{""Amount"": 4, ""Total"": 203}"
420,2025-12-19 11:09:50,Card Played,"{""Card"": ""Vantablack Ink""}"
421,2025-12-19 11:10:00,Card Played,"{""Card"": ""Final Knot"", ""Damage"": 15, ""Target"": ""Ink Wraith""}"
422,2025-12-19 11:10:10,Silk Gained,"{""Amount"": 3, ""Total"": 206}"
423,2025-12-19 11:10:20,Card Played,"{""Card"": ""Echoing Step""}"
424,2025-12-19 11:10:30,Silk Gained,"{""Amount"": 5, ""Total"": 211}"
425,2025-12-19 11:10:40,Card Played,"{""Card"": ""Web Trap""}"
426,2025-12-19 11:10:50,Player Health Changed,"{""Source"": ""Enemies"", ""Damage"": 2, ""Remaining"": 52}"
427,2025-12-19 11:11:00,Turn Ended,"{""Health"": 52}"
428,2025-12-19 11:11:10,Turn Started,"{""Turn"": 4, ""Energy"": 3}"
429,2025-12-19 11:11:20,Card Played,"{""Card"": ""Thread Pull""}"
430,2025-12-19 11:11:30,Card Played,"{""Card"": ""Web Trap""}"
431,2025-12-19 11:11:40,Silk Gained,"{""Amount"": 1, ""Total"": 212}"
432,2025-12-19 11:11:50,Card Played,"{""Card"": ""Silk Shield"", ""Block"": 8}"
433,2025-12-19 11:12:00,Card Played,"{""Card"": ""Prismatic Needle"", ""Damage"": 8, ""Target"": ""Ink Wraith""}"
434,2025-12-19 11:12:10,Player Health Changed,"{""Source"": ""Enemies"", ""Damage"": 6, ""Remaining"": 46}"
435,2025-12-19 11:12:20,Turn Ended,"{""Health"": 46}"
436,2025-12-19 11:12:30,Turn Started,"{""Turn"": 5, ""Energy"": 3}"
437,2025-12-19 11:12:40,Card Played,"{""Card"": ""Vantablack Ink""}"
438,2025-12-19 11:12:50,Silk Gained,"{""Amount"": 2, ""Total"": 214}"
439,2025-12-19 11:13:00,Card Played,"{""Card"": ""Thread Pull""}"
440,2025-12-19 11:13:10,Card Played,"{""Card"": ""Silk Shield"", ""Block"": 8}"
441,2025-12-19 11:13:20,Card Played,"{""Card"": ""Echoing Step""}"
442,2025-12-19 11:13:30,Card Played,"{""Card"": ""Final Knot"", ""Damage"": 15, ""Target"": ""Ink Wraith""}"
443,2025-12-19 11:13:40,Card Played,"{""Card"": ""Azure Stitch""}"
444,2025-12-19 11:13:50,Player Health Changed,"{""Source"": ""Enemies"", ""Damage"": 8, ""Remaining"": 38}"
445,2025-12-19 11:14:00,Turn Ended,"{""Health"": 38}"
446,2025-12-19 11:14:10,Turn Started,"{""Turn"": 6, ""Energy"": 3}"
447,2025-12-19 11:14:20,Card Played,"{""Card"": ""Thread Pull""}"
448,2025-12-19 11:14:30,Silk Gained,"{""Amount"": 4, ""Total"": 218}"
449,2025-12-19 11:14:40,Card Played,"{""Card"": ""Prismatic Needle"", ""Damage"": 8, ""Target"": ""Ink Wraith""}"
450,2025-12-19 11:14:50,Silk Gained,"{""Amount"": 5, ""Total"": 223}"
451,2025-12-19 11:15:00,Card Played,"{""Card"": ""Final Knot"", ""Damage"": 15, ""Target"": ""Ink Wraith""}"
452,2025-12-19 11:15:10,Card Played,"{""Card"": ""Azure Stitch""}"
453,2025-12-19 11:15:20,Player Health Changed,"{""Source"": ""Enemies"", ""Damage"": 0, ""Remaining"": 38}"
454,2025-12-19 11:15:30,Turn Ended,"{""Health"": 38}"
455,2025-12-19 11:15:40,Turn Started,"{""Turn"": 7, ""Energy"": 3}"
456,2025-12-19 11:15:50,Card Played,"{""Card"": ""Loom Burst"", ""Damage"": 5, ""Target"": ""Ink Wraith""}"
457,2025-12-19 11:16:00,Card Played,"{""Card"": ""Loom Burst"", ""Damage"": 5, ""Target"": ""Ink Wraith""}"
458,2025-12-19 11:16:10,Card Played,"{""Card"": ""Prismatic Needle"", ""Damage"": 8, ""Target"": ""Ink Wraith""}"
459,2025-12-19 11:16:20,Card Played,"{""Card"": ""Echoing Step""}"
460,2025-12-19 11:16:30,Card Played,"{""Card"": ""Web Trap""}"
461,2025-12-19 11:16:40,Silk Gained,"{""Amount"": 2, ""Total"": 225}"
462,2025-12-19 11:16:50,Player Health Changed,"{""Source"": ""Enemies"", ""Damage"": 0, ""Remaining"": 38}"
463,2025-12-19 11:17:00,Turn Ended,"{""Health"": 38}"
464,2025-12-19 11:17:10,Combat Ended,"{""Result"": ""Victory""}"
465,2025-12-19 11:17:20,Node Selected,"{""Node_Level"": 13, ""Type"": ""Combat""}"
466,2025-12-19 11:17:30,Combat Started,"{""Enemies"": ['Shadow Husk', 'Glass Stalker'], ""Environment"": ""Standard""}"
467,2025-12-19 11:17:40,Turn Started,"{""Turn"": 1, ""Energy"": 3}"
468,2025-12-19 11:17:50,Card Played,"{""Card"": ""Loom Burst"", ""Damage"": 5, ""Target"": ""Glass Stalker""}"
469,2025-12-19 11:18:00,Silk Gained,"{""Amount"": 2, ""Total"": 227}"
470,2025-12-19 11:18:10,Card Played,"{""Card"": ""Silk Shield"", ""Block"": 8}"
471,2025-12-19 11:18:20,Card Played,"{""Card"": ""Web Trap""}"
472,2025-12-19 11:18:30,Card Played,"{""Card"": ""Prismatic Needle"", ""Damage"": 8, ""Target"": ""Glass Stalker""}"
473,2025-12-19 11:18:40,Silk Gained,"{""Amount"": 1, ""Total"": 228}"
474,2025-12-19 11:18:50,Player Health Changed,"{""Source"": ""Enemies"", ""Damage"": 6, ""Remaining"": 37}"
475,2025-12-19 11:19:00,Turn Ended,"{""Health"": 37}"
476,2025-12-19 11:19:10,Turn Started,"{""Turn"": 2, ""Energy"": 3}"
477,2025-12-19 11:19:20,Card Played,"{""Card"": ""Loom Burst"", ""Damage"": 5, ""Target"": ""Glass Stalker""}"
478,2025-12-19 11:19:30,Card Played,"{""Card"": ""Vantablack Ink""}"
479,2025-12-19 11:19:40,Card Played,"{""Card"": ""Loom Burst"", ""Damage"": 5, ""Target"": ""Shadow Husk""}"
480,2025-12-19 11:19:50,Silk Gained,"{""Amount"": 3, ""Total"": 231}"
481,2025-12-19 11:20:00,Card Played,"{""Card"": ""Web Trap""}"
482,2025-12-19 11:20:10,Card Played,"{""Card"": ""Final Knot"", ""Damage"": 15, ""Target"": ""Shadow Husk""}"
483,2025-12-19 11:20:20,Card Played,"{""Card"": ""Loom Burst"", ""Damage"": 5, ""Target"": ""Glass Stalker""}"
484,2025-12-19 11:20:30,Silk Gained,"{""Amount"": 4, ""Total"": 235}"
485,2025-12-19 11:20:40,Player Health Changed,"{""Source"": ""Enemies"", ""Damage"": 4, ""Remaining"": 33}"
486,2025-12-19 11:20:50,Turn Ended,"{""Health"": 33}"
487,2025-12-19 11:21:00,Turn Started,"{""Turn"": 3, ""Energy"": 3}"
488,2025-12-19 11:21:10,Card Played,"{""Card"": ""Silk Shield"", ""Block"": 8}"
489,2025-12-19 11:21:20,Card Played,"{""Card"": ""Prismatic Needle"", ""Damage"": 8, ""Target"": ""Shadow Husk""}"
490,2025-12-19 11:21:30,Silk Gained,"{""Amount"": 2, ""Total"": 237}"
491,2025-12-19 11:21:40,Card Played,"{""Card"": ""Loom Burst"", ""Damage"": 5, ""Target"": ""Shadow Husk""}"
492,2025-12-19 11:21:50,Silk Gained,"{""Amount"": 5, ""Total"": 242}"
493,2025-12-19 11:22:00,Card Played,"{""Card"": ""Prismatic Needle"", ""Damage"": 8, ""Target"": ""Shadow Husk""}"
494,2025-12-19 11:22:10,Card Played,"{""Card"": ""Web Trap""}"
495,2025-12-19 11:22:20,Player Health Changed,"{""Source"": ""Enemies"", ""Damage"": 2, ""Remaining"": 31}"
496,2025-12-19 11:22:30,Turn Ended,"{""Health"": 31}"
497,2025-12-19 11:22:40,Turn Started,"{""Turn"": 4, ""Energy"": 3}"
498,2025-12-19 11:22:50,Card Played,"{""Card"": ""Echoing Step""}"
499,2025-12-19 11:23:00,Card Played,"{""Card"": ""Final Knot"", ""Damage"": 15, ""Target"": ""Glass Stalker""}"
500,2025-12-19 11:23:10,Card Played,"{""Card"": ""Silk Shield"", ""Block"": 8}"
501,2025-12-19 11:23:20,Card Played,"{""Card"": ""Thread Pull""}"
502,2025-12-19 11:23:30,Player Health Changed,"{""Source"": ""Enemies"", ""Damage"": 3, ""Remaining"": 28}"
503,2025-12-19 11:23:40,Turn Ended,"{""Health"": 28}"
504,2025-12-19 11:23:50,Turn Started,"{""Turn"": 5, ""Energy"": 3}"
505,2025-12-19 11:24:00,Card Played,"{""Card"": ""Thread Pull""}"
506,2025-12-19 11:24:10,Silk Gained,"{""Amount"": 4, ""Total"": 246}"
507,2025-12-19 11:24:20,Card Played,"{""Card"": ""Vantablack Ink""}"
508,2025-12-19 11:24:30,Card Played,"{""Card"": ""Web Trap""}"
509,2025-12-19 11:24:40,Silk Gained,"{""Amount"": 1, ""Total"": 247}"
510,2025-12-19 11:24:50,Card Played,"{""Card"": ""Prismatic Needle"", ""Damage"": 8, ""Target"": ""Glass Stalker""}"
511,2025-12-19 11:25:00,Silk Gained,"{""Amount"": 2, ""Total"": 249}"
512,2025-12-19 11:25:10,Card Played,"{""Card"": ""Final Knot"", ""Damage"": 15, ""Target"": ""Glass Stalker""}"
513,2025-12-19 11:25:20,Card Played,"{""Card"": ""Silk Shield"", ""Block"": 8}"
514,2025-12-19 11:25:30,Silk Gained,"{""Amount"": 3, ""Total"": 252}"
515,2025-12-19 11:25:40,Player Health Changed,"{""Source"": ""Enemies"", ""Damage"": 5, ""Remaining"": 23}"
516,2025-12-19 11:25:50,Turn Ended,"{""Health"": 23}"
517,2025-12-19 11:26:00,Combat Ended,"{""Result"": ""Victory""}"
518,2025-12-19 11:26:10,Node Selected,"{""Node_Level"": 14, ""Type"": ""Combat""}"
519,2025-12-19 11:26:20,Combat Started,"{""Enemies"": ['Glass Stalker'], ""Environment"": ""Standard""}"
520,2025-12-19 11:26:30,Turn Started,"{""Turn"": 1, ""Energy"": 3}"
521,2025-12-19 11:26:40,Card Played,"{""Card"": ""Web Trap""}"
522,2025-12-19 11:26:50,Card Played,"{""Card"": ""Thread Pull""}"
523,2025-12-19 11:27:00,Card Played,"{""Card"": ""Vantablack Ink""}"
524,2025-12-19 11:27:10,Silk Gained,"{""Amount"": 3, ""Total"": 255}"
525,2025-12-19 11:27:20,Card Played,"{""Card"": ""Final Knot"", ""Damage"": 15, ""Target"": ""Glass Stalker""}"
526,2025-12-19 11:27:30,Card Played,"{""Card"": ""Silk Shield"", ""Block"": 8}"
527,2025-12-19 11:27:40,Player Health Changed,"{""Source"": ""Enemies"", ""Damage"": 7, ""Remaining"": 21}"
528,2025-12-19 11:27:50,Turn Ended,"{""Health"": 21}"
529,2025-12-19 11:28:00,Turn Started,"{""Turn"": 2, ""Energy"": 3}"
530,2025-12-19 11:28:10,Card Played,"{""Card"": ""Thread Pull""}"
531,2025-12-19 11:28:20,Silk Gained,"{""Amount"": 4, ""Total"": 259}"
532,2025-12-19 11:28:30,Card Played,"{""Card"": ""Prismatic Needle"", ""Damage"": 8, ""Target"": ""Glass Stalker""}"
533,2025-12-19 11:28:40,Silk Gained,"{""Amount"": 4, ""Total"": 263}"
534,2025-12-19 11:28:50,Card Played,"{""Card"": ""Final Knot"", ""Damage"": 15, ""Target"": ""Glass Stalker""}"
535,2025-12-19 11:29:00,Silk Gained,"{""Amount"": 3, ""Total"": 266}"
536,2025-12-19 11:29:10,Card Played,"{""Card"": ""Thread Pull""}"
537,2025-12-19 11:29:20,Silk Gained,"{""Amount"": 5, ""Total"": 271}"
538,2025-12-19 11:29:30,Player Health Changed,"{""Source"": ""Enemies"", ""Damage"": 0, ""Remaining"": 21}"
539,2025-12-19 11:29:40,Turn Ended,"{""Health"": 21}"
540,2025-12-19 11:29:50,Turn Started,"{""Turn"": 3, ""Energy"": 3}"
541,2025-12-19 11:30:00,Card Played,"{""Card"": ""Echoing Step""}"
542,2025-12-19 11:30:10,Card Played,"{""Card"": ""Vantablack Ink""}"
543,2025-12-19 11:30:20,Card Played,"{""Card"": ""Azure Stitch""}"
544,2025-12-19 11:30:30,Card Played,"{""Card"": ""Loom Burst"", ""Damage"": 5, ""Target"": ""Glass Stalker""}"
545,2025-12-19 11:30:40,Silk Gained,"{""Amount"": 4, ""Total"": 275}"
546,2025-12-19 11:30:50,Card Played,"{""Card"": ""Prismatic Needle"", ""Damage"": 8, ""Target"": ""Glass Stalker""}"
547,2025-12-19 11:31:00,Player Health Changed,"{""Source"": ""Enemies"", ""Damage"": 4, ""Remaining"": 17}"
548,2025-12-19 11:31:10,Turn Ended,"{""Health"": 17}"
549,2025-12-19 11:31:20,Turn Started,"{""Turn"": 4, ""Energy"": 3}"
550,2025-12-19 11:31:30,Card Played,"{""Card"": ""Azure Stitch""}"
551,2025-12-19 11:31:40,Card Played,"{""Card"": ""Azure Stitch""}"
552,2025-12-19 11:31:50,Card Played,"{""Card"": ""Azure Stitch""}"
553,2025-12-19 11:32:00,Card Played,"{""Card"": ""Azure Stitch""}"
554,2025-12-19 11:32:10,Card Played,"{""Card"": ""Vantablack Ink""}"
555,2025-12-19 11:32:20,Silk Gained,"{""Amount"": 4, ""Total"": 279}"
556,2025-12-19 11:32:30,Card Played,"{""Card"": ""Loom Burst"", ""Damage"": 5, ""Target"": ""Glass Stalker""}"
557,2025-12-19 11:32:40,Silk Gained,"{""Amount"": 2, ""Total"": 281}"
558,2025-12-19 11:32:50,Card Played,"{""Card"": ""Thread Pull""}"
559,2025-12-19 11:33:00,Player Health Changed,"{""Source"": ""Enemies"", ""Damage"": 3, ""Remaining"": 14}"
560,2025-12-19 11:33:10,Turn Ended,"{""Health"": 14}"
561,2025-12-19 11:33:20,Combat Ended,"{""Result"": ""Victory""}"
562,2025-12-19 11:33:30,Node Selected,"{""Node_Level"": 15, ""Type"": ""Combat""}"
563,2025-12-19 11:33:40,Combat Started,"{""Enemies"": ['Shadow Husk', 'Thorny Core', 'Shadow Husk', 'Glass Stalker'], ""Environment"": ""Standard""}"
564,2025-12-19 11:33:50,Turn Started,"{""Turn"": 1, ""Energy"": 3}"
565,2025-12-19 11:34:00,Card Played,"{""Card"": ""Vantablack Ink""}"
566,2025-12-19 11:34:10,Card Played,"{""Card"": ""Prismatic Needle"", ""Damage"": 8, ""Target"": ""Shadow Husk""}"
567,2025-12-19 11:34:20,Card Played,"{""Card"": ""Final Knot"", ""Damage"": 15, ""Target"": ""Glass Stalker""}"
568,2025-12-19 11:34:30,Card Played,"{""Card"": ""Thread Pull""}"
569,2025-12-19 11:34:40,Player Health Changed,"{""Source"": ""Enemies"", ""Damage"": 6, ""Remaining"": 13}"
570,2025-12-19 11:34:50,Turn Ended,"{""Health"": 13}"
571,2025-12-19 11:35:00,Turn Started,"{""Turn"": 2, ""Energy"": 3}"
572,2025-12-19 11:35:10,Card Played,"{""Card"": ""Loom Burst"", ""Damage"": 5, ""Target"": ""Thorny Core""}"
573,2025-12-19 11:35:20,Card Played,"{""Card"": ""Prismatic Needle"", ""Damage"": 8, ""Target"": ""Shadow Husk""}"
574,2025-12-19 11:35:30,Silk Gained,"{""Amount"": 3, ""Total"": 284}"
575,2025-12-19 11:35:40,Card Played,"{""Card"": ""Echoing Step""}"
576,2025-12-19 11:35:50,Silk Gained,"{""Amount"": 1, ""Total"": 285}"
577,2025-12-19 11:36:00,Card Played,"{""Card"": ""Vantablack Ink""}"
578,2025-12-19 11:36:10,Card Played,"{""Card"": ""Azure Stitch""}"
579,2025-12-19 11:36:20,Player Health Changed,"{""Source"": ""Enemies"", ""Damage"": 7, ""Remaining"": 6}"
580,2025-12-19 11:36:30,Turn Ended,"{""Health"": 6}"
581,2025-12-19 11:36:40,Turn Started,"{""Turn"": 3, ""Energy"": 3}"
582,2025-12-19 11:36:50,Card Played,"{""Card"": ""Silk Shield"", ""Block"": 8}"
583,2025-12-19 11:37:00,Card Played,"{""Card"": ""Echoing Step""}"
